"","x"
"309","NUBP1"
"310","NUMA1"
"311","OR4F29.1"
"312","OR4S1"
"313","OR5C1"
"314","OR6C3"
"315","OR6K3"
"316","ORM2"
"317","P2RY1"
"318","P2RY13"
"319","PABPC3"
"320","PAPPA.AS1"
"321","PAXIP1"
"322","PCCB"
"323","PDE4D"
"324","PEMT"
"325","PHC3"
"326","PIM2"
"327","PLEKHG4B"
"328","POGZ"
"329","POLE3"
"330","POLR3H"
"331","POMT2"
"332","POU5F1P4.1"
"333","PP7080.1"
"334","PPP2R3B.1"
"335","PPT1"
"336","PRDM4"
"337","PRKG2"
"338","PTGER4"
"339","PTP4A2"
"340","PTPMT1.1"
"341","PTPN9"
"342","RAB8A"
"343","RALGPS1"
"344","RAVER2"
"345","RBM11"
"346","RBM44"
"347","RER1.1"
"348","RGCC"
"349","RNF133"
"350","RNU4.1"
"351","RNU4.2"
"352","RPL13.1"
"353","RPPH1"
"354","SEC24B"
"355","SEPHS1"
"356","SEPT14"
"357","SERTAD2"
"358","SF3B4"
"359","SH3GLB2"
"360","SIDT2"
"361","SLC35F6"
"362","SLC43A3"
"363","SLC9A7"
"364","SLX4IP"
"365","SMCHD1.1"
"366","SMG1"
"367","SMPD4"
"368","SNAP29"
"369","SND1.IT1"
"370","SNHG1.5"
"371","SNORA1"
"372","SNORA31"
"373","SNORA70F"
"374","SNORA70G"
"375","SNORD115.25"
"376","SNORD30"
"377","SNORD49B"
"378","SORT1"
"379","SPATS2L"
"380","SPEF2"
"381","SPRYD4"
"382","SRD5A3"
"383","STARD7"
"384","STAT4"
"385","STX5"
"386","SUMO1P3"
"387","SYNGR2"
"388","SYS1.DBNDD2.1"
"389","TAB3"
"390","TAF15"
"391","TAF6"
"392","TAF9B"
"393","TAPT1.AS1"
"394","TAS2R5"
"395","TAS2R60"
"396","TCEB3"
"397","TCTN3"
"398","TFG"
"399","TGFB2"
"400","TIMM8B.1"
"401","TLDC2"
"402","TM9SF1"
"403","TMBIM6"
"404","TMEM14E"
"405","TMEM209"
"406","TMEM260"
"407","TOB1"
"408","TPM1"
"409","TRAFD1"
"410","TRIM21"
"411","TRIM51"
"412","TRIM51.2"
"413","TRIM64B"
"414","TRIM68"
"415","TSEN15"
"416","TSPAN5"
"417","TSPYL4"
"418","TTLL6"
"419","TUBB"
"420","UBAC1"
"421","UBE2G1"
"422","UBE2Q1"
"423","ULK4P2"
"424","VPS11"
"425","WBP11"
"426","WDSUB1"
"427","WNK1"
"428","XKR3"
"429","XKR6"
"430","XKR9"
"431","YPEL2"
"432","YWHAB"
"433","ZBTB2"
"434","ZC3H12B"
"435","ZCCHC3"
"436","ZFAT"
"437","ZFP36"
"438","ZFYVE20"
"439","ZNF337"
"440","ZNF346"
"441","ZNF362"
"442","ZNF607"
"443","ZNF626"
"444","ZNF767P"
"445","ZNF789"
"446","ZSCAN22"
